Format type,Format subtype 1,Format subtype 2,Format,Section,QID,Question,Help,Weight,Dependency-Q,Dependency-A,Control,A1,A1 value,A2,A2 value,A3,A3 value,A4,A4 value,A5,A5 value,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Condition,133,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Condition,134,Is the tintype's back side exhibiting rust?,"Oxidation and rusting of the tinype's iron substrate can cause blistering, flaking, and total loss of the image emulsion layerÑthis is the primary  threat to tintypes. Check for signs of rust across the plate's back side.",6,,,,Yes,0,No,1,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Ambrotype,Condition,135,Is this tintype in a sealed package and/or hinged case?,"Indicate whether this tintype is in a package that effectively seals it off from external threats. The silver image is not as sensitive as that of a ambrotype or daguerreotype, but does benefit from the protection of an enclosure. Most tintypes stored loose are therefore dented, bent, or scratched up.
A rigid, secure case or package helps protect the image from external threatsÑmechanical damage and environmental factors (e.g. dents, scratches, rusting). Moisture and high humidity will lead to oxidation and rusting of the iron, especially if the lacquered surface has been cracked/chipped.",2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Cased/Direct Photograph,,Tintype,Condition,136,"Assess the degree of image darkening, yellowing, and/or loss of contrast","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
The collodion binder and varnish layers are sensitive to light and will yellow under intense light exposure, which may eventually lead to delamination. The silver image may also lose contrast due to exposure to light and other atmospheric factors.",10,,,,None/Slight,1,Moderate (at edges only),0.5,Severe (overall),0,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Use | Access,137,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Use | Access,138,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Storage | Container,139,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Storage | Container,140,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Storage | Container,141,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Condition,142,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image, the image itself may yet be ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Image loss (e.g. ink flaking, paper fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Condition,143,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Condition,144,Is the paper yellowed and/or brittle? This will be most evident along the edges or back side,"Select the degree of the paper's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this paper support is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,,,Photomechanical Print,Condition,145,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the ink has deteriorated, naturally or through external factors. 
Fading/discoloration is most common for color inks (unless pigment-based); reddish-brown spot staining (foxing) is common for gravures and certain papers. Click through for more info, including examples.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Use | Access,146,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Use | Access,147,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Storage | Container,148,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Storage | Container,149,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Storage | Container,150,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,151,"What is the state of the image, in terms of physical damage sustained?"," Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image, the image may yet be ""Excellent."" 
""Good"" to ""Critical"" can describe a range of image scratches or abrasions. Image loss (e.g. flaking, fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,152,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,153,Is the paper yellowed and/or brittle? This will be most evident along the edges or back side,"Select the degree of the paper's acidic breakdown. Discoloration (i.e. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this paper support is likely in an advanced stage of degradation.",6,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,154,Is this uncoated or coated paper?,Uncoated paper (copy paper) will appear rough and has a matte surface like any basic copy paper. Coated paper will have a plasticized backside and will have some degree of surface luster.,4,,,,Uncoated (copy paper),0,Coated,1,,,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,155,"Does it appear to be a ""porous"" or ""swellable"" paper type?","Swellable paper typically has a glossy finish which mimics traditional photo paper. Porous paper (the more popular type) typically is not as glossy as swellable paper, and is manufactured with or without a resin layer.",,154,Coated,,Porous,0,Swellable,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Digital Print,,Inkjet Print,Condition,156,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the ink has deteriorated, naturally or through external factors. 
Inkjet inks are prone to bleeding, streaking, and distortion; dye-based prints will discolor and fade soon after exposure to lightÑthis includes black-and-white prints.",8,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Use | Access,157,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Use | Access,158,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Storage | Container,159,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Storage | Container,160,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Storage | Container,161,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Condition,162,"What is the state of the image, in terms of physical damage sustained?","Cracking is usually evident in the emulsion's dark image areas; lifting is prominent along image edges. Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Image loss (e.g. flaking, fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Condition,163,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Condition,164,Is the print mounted or unmounted?,Carbon Prints and Woodburytypes are often on card mounts; unmounted prints are comparatively thin.,4,,,,Mounted,1,Unmounted,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Condition,165,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",6,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Carbon Print / Woodburytype,Condition,166,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Fading/discoloration is rare for both Carbon Prints and Woodburytypes.",8,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Use | Access,167,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Use | Access,168,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Storage | Container,169,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Storage | Container,170,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Storage | Container,171,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Condition,172,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Condition,173,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Condition,174,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Salt Print,Condition,175,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Salt Print images are often found faded. Highlights and edges will be first to exhibit fading; discoloration usually progresses from reddish or purplish (warm) brown (""Slight/None""), to pale yellow (""Moderate""), and finally to greenish yellow (""Severe""); reddish-brown spot staining (foxing) is also common.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Use | Access,176,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Use | Access,177,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Storage | Container,178,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Storage | Container,179,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Storage | Container,180,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Condition,181,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Image loss (e.g. flaking, fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Condition,182,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Condition,183,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Cyanotype,Condition,184,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
An unfaded Cyanotype will appear brilliant Prussian blue; however, fading is typical as the image is very light sensitive. Note that Cyanotypes usually lack contrast and sharpness in the first place. Reddish-brown spot staining (foxing) of the paper is also common. Click through for examples of Cyanotype fading.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Use | Access,185,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Use | Access,186,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Storage | Container,187,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Storage | Container,188,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Storage | Container,189,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Condition,190,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image material, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Platinum and palladium introduce even greater acidity to the paper support; image loss (by paper flaking, fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Condition,191,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Condition,192,Is the support (card mount or paper) discolored and/or brittle? This will be most evident along the edges,"Select the degree of the support's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration is usually more apparent on the back. If both yellowed and brittle, this support (cardboard or paper) is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Platinum / Palladium Print,Condition,193,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Fading and discoloration of the image is uncommon as the platinum/palladium is permanent. However, due to the high acidity of the metallic image, the support is placed at risk. Deterioration of the paper will often shift the image toward a warmer tone (evident in highlights). Some localized or spot staining is also possible.
If the image surface has been stored in contact with other papers, there may be signs of catalytic degradation in the form of a mirror image ÒburnedÓ into the facing paper. This staining is irreversibleÑdo not house platinum prints in direct contact with other photographic materials.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Use | Access,194,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Use | Access,195,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about facsimiles and access/reference copies.",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Storage | Container,196,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Storage | Container,197,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Storage | Container,198,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Condition,199,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may be ""Good"" or even ""Excellent"". 
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or significant emulsion flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability. Cracking, crazing, and flaking is most evident in the image's dark areas.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Positive Print,Monochrome Print,Albumen Print,Condition,200,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
